Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
1788217,,Edinburgh?],1852,,Idone: or Incidents in the life of a dreamer,,"Archer, James Henry Lawrence, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001788217,British Library HMNTS 12637.h.19.(1.)
1788567,,London,1800,,Crime from Ambition; a play in five acts ; translated from the German by M,"Iffland, August Wilhelm, ","Geisweiler, Maria, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001788567,British Library HMNTS 643.g.13.(9.)|British Library HMNTS 164.h.7.
1789337,,London,1873,Macmillan & Co.,Culmshire Folk,,"Fuller, James Franklin, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001789337,British Library HMNTS 12628.cc.3.
1789765,,Haarlem,1895,,Dwars door Sumatra,"Ijzerman, J, ","Bakhuis, L, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001789765,British Library HMNTS 10470.i.16.
1789980,,С.-Петербургъ,1873,,Графъ Н,"Ikonnikov, Vladimir Stepanovich, ","Mordvinov, Nikolai Semenovich , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001789980,British Library HMNTS 9454.c.22.
1791401,,Philadelphia,1837,S. A. Mitchell,Illinois in 1837; a sketch descriptive of the situation ,,"Mitchell, S, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001791401,British Library HMNTS 1304.f.7.
1791403,,Philadelphia,1838,S. A. Mitchell,"Sketches of Illinois, etc",,"Mitchell, S, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001791403,British Library HMNTS 798.g.30.
1791863,,London,1820,,"Imagination, a poem",,"Poulter, Louisa Frances, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001791863,British Library HMNTS 992.i.25.(1.)|British Library HMNTS 11644.d.42.
1792483,,Manchester,1797,Sowler and Russell,"Emanuel; or, Paradise Regained: an epic poem",,"Ogden, James , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001792483,British Library HMNTS 11643.g.42.(1.)
1792726,,Imola,1810,,Compendio della Storia civile ecclesiastica e letteraria della città d'Imola,,"Benacci, Giuseppe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001792726,British Library HMNTS 805.dd.9.|British Library HMNTS 10129.d.24.
1793259,,London,1698,,"The Imposture defeated: or, A Trick to Cheat the Devil",,"Powell, George , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001793259,British Library HMNTS 644.f.25.|British Library HMNTS 83.a.7.(4.)
1793337,,London,"1893, etc",J. Imray & Son,Baltic Pilot,"Imray, James Frederick, ","Jenkins, Henry Davenport, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001793337,British Library HMNTS 10496.b.
1793353,,London,1884,J. Imray & Son,Atlantic Ocean Pilot,"Imray, James Frederick , ","Jenkins, Henry Davenport, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001793353,British Library HMNTS 10496.d.12.
1793709,,London,[c. 1855],Thomas Holmes,The Wonders of the World,"Ince, Henry, ","Mudie, Robert, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001793709,British Library HMNTS 10028.t.33.
1793921,,London,1791,,Next door Neighbours; a comedy; in three acts ,"Inchbald , ","NéRicault, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001793921,British Library HMNTS 643.e.20.(3.)|British Library HMNTS 162.i.2.
1794371,,London?,1647?],,"Herod and Pilate reconciled: or, A late dialogue betwixt an I",,"Bostock, Robin, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001794371,British Library HMNTS 1077.i.33.|British Library HMNTS E.379.(7.)
1798563,,London,1790,,"The Indians, a tragedy ",,"Richardson, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001798563,British Library HMNTS 643.e.19.(8.)|British Library HMNTS 643.f.11.(11.)|British Library HMNTS 163.k.58.
1798997,,London,1888,T. Fisher Unwin,Industrial rivers of the United Kingdom ,,"Jones, Evan Rowland, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001798997,British Library HMNTS 10347.cc.15.
1799393,,London,1690,,"The Banished Duke: or, The Tragedy of Infortunatus ",,"Fitzroy, Afterwards Scott, James , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001799393,British Library HMNTS 643.d.22.|British Library HMNTS 163.k.51.
1799649,,Edinburgh,1892,W. Blackwood and Sons,Ingelheim,,"Butt, Beatrice May, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001799649,British Library HMNTS 012637.f.2.
1799702,,London,1867 [1866],,Poems ,"Ingelow, Jean","Pinwell, George John, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001799702,British Library HMNTS 11651.g.11.
1800407,,London,1853,,A Summer Search for Sir John Franklin; with a Peep into the Polar Basin ,"Inglefield, Edward Augustus , ","Dickie, George , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001800407,British Library HMNTS 10460.e.9.
1800555,,London,1863,,"The Golden Fleece Gazette: a weekly journal of narrative, science, adventure, and daily occurrences","Inglis, Daniel Halkett Craigie, ","Keyser, Frederick , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001800555,British Library HMNTS 10027.i.5.
1801063,,London,1874,,Ingram Place,,"Byrne, May, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001801063,British Library HMNTS 12638.e.11.
1801724,,London,1852,,"The Lost Inheritance, a novel",,"Tautphoeus, Jemima Von , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001801724,British Library HMNTS 12626.b.15.
1801888,,New York,1898,Macmillan Co.,The Great Salt Lake Trail,"Inman, Henry , ","Cody, William Frederick , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001801888,British Library HMNTS 10413.d.10.|British Library DSC MFE33/04016 *1*
1803317,,London,1869,Richard Bentley,My Insect Queen,,"Wynne, Catherine Simpson, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001803317,British Library HMNTS 12630.d.5.
1803458,,M. Cooper,1752,London,"The Inspector's rhapsody or soliloquy, on the loss of his wigg, in a scuffle with some Irish gentlemen at Ranelagh",,"Hill, John",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001803458,British Library HMNTS 11602.i.15.(8.)
1807827,,Paris,1891,, Des cartes topographiques européennes,,"DerréCagaix, Victor Bernard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001807827,British Library HMNTS 10106.i.24.
1810122,,St. Petersburg,1882,,"Mittheilungen der internationalen Polar-Commission, redigirt von H",,"Wild, Heinrich , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001810122,British Library HMNTS 10460.g.17.
1812198,,York,[1861],J. Sampson,The Antidote,,"Parker, Robert John, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001812198,British Library HMNTS 10347.ee.27.(12.)
1812854,,London,1864,,Four years in the Ionian Islands,,"Fitz Maurice, George William Hamilton , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001812854,British Library HMNTS 10126.c.24.
1812885,,Berlin,"1895, 96",,Durch Süd-Amerika,"Ionin, Aleksandr, ","Pezold, Marie Von, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001812885,British Library HMNTS 010480.ee.46.
1814020,,Paris,"1859, 60",,"Histoire politique de la Révolution de Hongrie, 1847-49, etc","Iranyi, Daniel , ","Chassin, Charles Louis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001814020,British Library HMNTS 9314.e.5.
1814208,,London,1823,T. White and Co.,"Travels in Egypt and Nubia, Syria and Asia Minor: during the years 1817 & 1818","Irby, Charles Leonard , ","Mangles, James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001814208,British Library HMNTS 1047.f.10.|British Library HMNTS G.6981.
1814210,,London,1868,John Murray,"Travels in Egypt and Nubia, Syria, and the Holy Land ","Irby, Charles Leonard , ","Mangles, James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001814210,British Library HMNTS 010026.f.40.
1818826,,London,1796,,Mr,"Ireland, Samuel, ","Ireland, Samuel William Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001818826,British Library HMNTS 642.d.29.(3.)|British Library HMNTS 642.d.12.(3.)|British Library HMNTS 687.g.31.(5.)|British Library HMNTS B.324.(3.)|British Library HMNTS 82.e.17.
1818869,,Oxford,1663-,H. Hall for R. Davis,"Verses spoken at the appearance of the King and Queene, Duke and Dutchesse of York, in Christ-Church Hall, Oxford, Sept: 29","Ireland, Thomas , ","Laurence, Thomas , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001818869,British Library HMNTS 1077.h.58.(3.)
1819998,,"pp. xvi. 159. G. Redway: London, 1898 [1897]",,,Rhymes of Ironquill,,"Hammerton, John Alexander , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001819998,British Library HMNTS 011652.g.60.
1820574,,London,1855,Thomas Cantley Newby,Catherine Irving,"Irving, Catherine, ","Lupton, Afterwards Needell, Mary Anne, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001820574,British Library HMNTS 12630.a.11.
1820761,,Glasgow,1864,,The Upper Ward of Lanarkshire described and delincated,"Irving, George Vere, ","Murray, Alexander , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001820761,British Library HMNTS 10370.h.6.
1820917,,London,1835,,"The Conquest of Florida, under Hernando de Soto","Irving, Theodore, ","Soto, Ferdinando De, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001820917,British Library HMNTS 1061.d.27.
1820978,,London,1896,Macmillan & Co.,The Alhambra ,"Irving, Washington, ","Pennell, Elizabeth Robins, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001820978,British Library HMNTS 10161.bbb.26.|British Library HMNTS 10161.f.26.
1821779,,London,1827,,Isaac Comnenus; a play ,,"Taylor, Henry , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001821779,British Library HMNTS 11779.f.31.|British Library HMNTS T.1181.(6.)
1822979,,London,1875,,Iseulte,,"Dempster, Charlotte Louisa Hawkins, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001822979,British Library HMNTS 12637.bbb.13.
1823010,,Cincinnati,1890,Lyman & Cushing,Prisoners of War and Military Prisons,"Isham, Asa Brainerd, ","Davidson, Henry M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001823010,British Library HMNTS 9605.d.6.
1823263,,London,"1884, etc",W. H. Allen & Co.,"Ishtar and Izdubar, the epic of Babylon; or, the Babylonian Goddess of Love and the Hero and Warrior King; constructed from the great Accadian Epic ",,"Hamilton, Leonidas Le Cenci, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001823263,British Library HMNTS 11652.k.12.
1823645,,London,1779,J. Murray,"The Injured Islanders; or, the Influence of art upon the happiness of nature",,"Fitzgerald, Gerald , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001823645,British Library HMNTS 11630.d.7.(3.)|British Library HMNTS 643.k.24.|British Library HMNTS 163.l.8.
1823658,,Edinburgh,1890,Privately printed,The Stent Book and Acts of the Balliary of Islay 1718-1843,,"Ramsay, Lucy, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001823658,British Library HMNTS 10370.h.16.
1823663,,London,1633,,The Ile of Gulls ,,"Day, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001823663,British Library HMNTS 644.d.76.|British Library HMNTS 161.i.4.
1824416,,London,[1862.],Mitchell,"Israel's Return from Babylon, an oratorio in four parts ",,"Schachner, Joseph Rudolf, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001824416,British Library HMNTS 11781.f.47.(5.)
1824718,,London,[1849],,"Forty Days in the Desert on the track of the Israelites; or, a Journey from Cairo by Wady Feiran to Mount Sinai and Petra",,"Bartlett, William Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001824718,British Library HMNTS 10075.e.4.
1824719,"Fifth edition, with numerous illustrations, etc.",London,1862,H. G. Bohn, Third edition,,"Bartlett, William Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001824719,British Library HMNTS 10077.c.17.
1824901,,Clermont Ferrand,1848,,"Annales de la Ville d'Issoire, manuscrit inédit sur l'histoire des guerres religieuses en Auvergne au 16e et 17e siècles,  accompagné de notes; publié par J",,"Blauf, Julien, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001824901,British Library HMNTS 10170.d.2.
1824950,,Debreczen,1871,,Magyarország Története,"Isthvanfius, Nicolaus, ","Vidovich, GyöRgy, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001824950,British Library HMNTS 9314.g.7.
1825232,,London,1876,,It might have been,,"Smith, Jane Grace , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001825232,British Library HMNTS 12625.k.3.
1825607,,London,1825,,"Italian Scenes: a series of interesting delineations of remarkable views, and of ",,"Craven, Keppel Richard , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001825607,British Library HMNTS 10129.g.1.
1831817,,London,1859,Robert Hardwicke,The Holy War by John Bunyan versified by E,"J, ","Owen, Octavius Freire, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001831817,British Library HMNTS 11650.h.8.
1831875,,Leipzig,1859,,Treue Geschichte der Drangsale die das deutsche Dorf J,"J, ","Meyer, Arnold Oskar, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001831875,British Library HMNTS 9340.c.1.
1831919,,Manchester,1882,J. E. Cornish,A Voyage in the S,"J, ","Jardine, H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001831919,British Library HMNTS 010026.k.8.
1832141,,London,1890,D. Nutt,"The Tragedy of Captain Harrison; or, the Brownlow Street Mystery","J, ","Harrison, Henry , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001832141,British Library HMNTS 012632.l.47.
1832148,,London,1899,T. F. Unwin,At the Sign of the Palm Tree,"J, ","Johnston, R, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001832148,British Library HMNTS 010077.e.35.
1832587,,Lwów,1847 [48],,Okolice Galicyi M,"JabłońSki, Kajetan, ","StęCzyńSki, Maciej Bogusz, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001832587,British Library HMNTS 10290.g.26.
1832753,,London,1897,Lawrence & Bullen,On the Trail of Don Quixote: being a record of rambles in the ancient province of La Mancha ,"Jaccaci, August F, ","Urrabieta, Daniel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001832753,British Library HMNTS 10161.de.30.|British Library HMNTS Cerv.540.
1833521,,"pp. 438. J. Duffy & Co.: Dublin, 1900",,,The Seraph of Assisi,"Jackman, John A, ","Francis , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001833521,British Library HMNTS 011651.eee.24.
1833811,,London,1862,,"Robert O'Hara Burke, and the Australian Exploring Expedition of 1860","Jackson, Andrew , ","Burke, Robert O'Hara",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001833811,British Library HMNTS 10491.d.26.
1834146,,London,1898,Phillimore & Co.,"Annals of Ealing, from the twelfth century to the present time","Jackson, Edith, ","Oliver, William Elliott, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001834146,British Library HMNTS 10350.d.43.
1834603,,London,[1893.],R. Tuck & Sons,Bonnie Bairns,"Jackson, Helen , ","Chettle, E, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001834603,British Library HMNTS 11651.i.47.
1834905,,Berlin & Hamburg,1804,,"Landreise aus Ostindien nach Europa, unternommen im Jahre 1797 auf einem ","Jackson, John , ","Sprengel, Matthias Christian, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001834905,British Library HMNTS 10027.d.14.
1837830,,London,1692,,The Jacobite Conventicle,,"Ames, Richard , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001837830,British Library HMNTS 1077.l.3.(3.)
1838738,,Leipzig,1884,,"Capitain Jacobsen's Reise an der Nordwestküste Amerikas 1881-1883 zum Zwecke ethnologischer Sammlungen und Erkundigungen, nebst Beschreibung persönlicher Erlebnisse ","Jacobsen, J, ","Woldt, A, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001838738,British Library HMNTS 10460.e.4.
1838739,,Kristiania,1887,,Kaptein Jacobsens Reiser til Nordamerikas Nordvestkyst 1881-83 ,"Jacobsen, J, ","Utheim, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001838739,British Library HMNTS 10460.ee.37.
1838886,,Kjøbenhavn,1897,,Den Nordiske Kriigs Krønicke utgifwen af Martin Weibull,"Jacobsen, Sten, ","Weibull, Martin Johan Julius, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001838886,British Library HMNTS 9425.eee.1.
1840486,,"Paris, Poissy [printed]",1845,,"Rueil, le château de Richelieu, la Malmaison, avec pièces justificatives","Jacquin, Jules , ","Duesberg, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001840486,British Library HMNTS 10171.d.24.
1841674,"Second edition, carefully revised.",Madras,1863,,,,"Herklots, Gerhard Andreas, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001841674,British Library HMNTS 10056.f.28.
1842585,,Leipzig,1847,,"Praktische Anleitung zum gründlichen Studium der Erdkunde nach ihrer mathematischen, physikalischen und politischen Bedeutung","Jahn, Gustav Adolph , ","Vogel, Emil Ferdinand, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001842585,British Library HMNTS 10002.e.25.
1843254,,Budán,1870-88,,Kolozsvár története ,"Jakab, Elek, ","Haske, Ferencz, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001843254,British Library HMNTS 10201.f.3.
1844591,,"London, Winchester [printed]",1860,,Valentine Duval; an autobiography of the last century ,"Jameray Duval, Valentin, ","Manning, Anne, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001844591,British Library HMNTS 12632.k.15.
1845250,,Edinburgh,1783,J. and E. Balfour,"Poetical Remains of James the First, King of Scotland",,"Tytler, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001845250,British Library HMNTS 991.k.13.(1.)|British Library HMNTS 79.e.29.|British Library HMNTS G.5049.
1845815,,London,1897,J. C. James,Some Impressions of East and South-East Africa,"James, Charles D, ","B, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001845815,British Library HMNTS 10098.e.31.
1846047,,London,1896,H. Frowde,Letters archaeological and historical relating to the Isle of Wight,"James, Edward Boucher, ","James, Rachel Boucher , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001846047,British Library HMNTS 010349.f.7.
1846073,,Philadelphia,1823,,"Account of an expedition from Pittsburgh to the Rocky Mountains, performed in the years 1819 and 20 ","James, Edwin , ","Long, Stephen Harriman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001846073,British Library HMNTS 1304.l.15.
1846217,,London,1888,G. Philip & Son,The Unknown Horn of Africa,"James, Frank Linsly, ","Hake, Rose, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001846217,British Library HMNTS 10095.ee.8.
1846218,,London,1890,G. Philip & Son,The Unknown Horn of Africa ,"James, Frank Linsly, ","James, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001846218,British Library HMNTS 010096.e.23.
1846361,,London,1849,,"An investigation of the circumstances attending the murder of John, Earl of Gowrie and Alexander Ruthven, by order of King James the Sixth of Scotland; with an Examination of the forged Restalrig Letters brought forward to exculpate the King","James, G, ","Ruthven, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001846361,British Library HMNTS 809.h.30.
1846455,,"London, Woking printed",1852,,"Adrian, or, the Clouds of the Mind: a romance","James, G, ","Field, Maunsell B, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001846455,British Library HMNTS 12625.e.10.
1847327,,Firenze,1875,,All' Arciconsolo e al soci della R,"James, John Kingston , ","Severini, Antelmo, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001847327,British Library HMNTS 11645.f.53.
1848080,,London,1897-1902,Kegan Paul & Co.,The Wolseley Series,"James, Walter Haweis, ","Leverson, George Francis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001848080,British Library HMNTS 09078.b.52.
1848119,,London,1819,,Warden refuted; being a defence of the British navy against the misrepresentations of a work ,"James, William , ","Warden, David Baillie, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001848119,British Library HMNTS 598.g.27.|British Library HMNTS 792.g.30.(4.)
1848459,,London,1890,R. H. Porter,Story of the Rear Column of the Emin Pasha Relief Expedition ,"Jameson, James S, ","Bates, Henry Walter, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001848459,British Library HMNTS 010096.ff.3.
1850529,,St. Helena,1840],, MS,,"Lockwood, Joseph , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001850529,British Library HMNTS 10095.dd.25.(2.)
1850547,,London,1864,,Janita's Cross,,"Tabor, Afterwards Stephenson, Eliza, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001850547,British Library HMNTS 12634.k.7.
1850759,,Paris,1853,,"Slaves du sud, ou le peuple serbe avec les Croates et les Bulgares, aperçu de leur vie historique, politique et sociale","Janković, Milovan , ","Grujić, Jevrem, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001850759,British Library HMNTS 10290.d.18.
1851057,,Freiburg im Breisgau,1893,,Die Vereinigten Staaten Nordamerikas in der Gegenwart ,"Jannet, Claudio, ","Kaempfe, Walter, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001851057,British Library HMNTS 10412.dd.20.
1851437,,Wiesbaden,1897,,Schleswig-Holsteins Befreiung,"Jansen, Carl , ","Samwer, Carl , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001851437,British Library HMNTS 9340.f.12.
1852138,,Middelburg,1856-63,,"Bijdragen tot de Oudheidkunde en Geschiedenis, inzonderheid van Zeeuwsch-Vlaanderen","Janssen, Hendrik Quirinus , ","Dale, Johan Hendrik Van, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001852138,British Library HMNTS 9415.cc.9.
1852172,,Freiburg im Breisgau,1878 [1876]-94,,Geschichte des deutschen Volkes seit dem Ausgang des Mittelalters,"Janssen, Johann , ","Pastor, Ludwig Friedrich August Von , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001852172,British Library HMNTS 9327.d.21.
1852176,,Paris,1887-95,,L'Allemagne et la réforme ,"Janssen, Johann , ","Heinrich, Guillaume Alfred, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001852176,British Library HMNTS 9327.dd.3.
1852821,,Havre,1861,,"Les Chateaux de l'arrondissement du Havre, description historique, archéologique et pittoresque ","Janvrain, L, ","Bigot, I, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001852821,British Library HMNTS 10172.e.7.
1853692,,London,1841,,"Manners and customs of the Japanese, in the nineteenth century; from recent Dutch visitors of Japan, and the German of Dr",,"Busk, M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001853692,British Library HMNTS 793.g.19.|British Library OC ORW.1986.a.3650
1854252,,London,1879,Hurst and Blackett,Young Mrs,,"Craik, Dinah Maria Mulock",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001854252,British Library HMNTS 12625.n.3.
1854253,[Another edition.],London; Bungay [printed,1880],Hurst & Blackett," By the author of John Halifax, Gentleman ]",,"Craik, Dinah Maria Mulock",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001854253,British Library HMNTS 12619.i.7.
1854273,,London,1841,[Privately printed],"Remarks upon the Letters of Thomas Winter and the Lord Mounteagle, lately discovered by J","Jardine, David , ","Bruce, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001854273,British Library HMNTS 9007.h.29.(1.)
1854770,,London,1871,,Diary of an Embassy from King George of Bohemia to King Louis XI,"Jaroslaw , ","Wratislaw, Albert Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001854770,British Library HMNTS 10077.bb.25.
1855207,Fourth edition. With an appendix (by H. M. Whitney).,Honolulu,1872,,,"Jarves, James Jackson","Whitney, Henry Martyn, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001855207,British Library HMNTS 9605.cc.3.
1855791,,London,1865,,Sir Jasper's Tenant,,"Braddon, M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001855791,British Library HMNTS 12623.bb.3.
1856144,,Pest,1853,,A Magyar nemzet napjai a legrégibb idötöl az Arany Bulláig,"JáSzay, PáL, ","Toldy, Ferencz, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001856144,British Library HMNTS 9315.cc.8.
1856769,,London,1899,T. F. Unwin,Alpine Memories by Émile Javelle,"Javelle, Jean Marie Ferdinand ÉMile, ","Chesson, Wilfrid Hugh, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001856769,British Library HMNTS 10196.g.3.
1857139,,"pp. 58. E. T. Heron & Co.: London, [1900.]",,,“Errors,"Jay, Harvey, ","Godley, John Cornwallis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001857139,British Library HMNTS 011651.i.33.
1857537,,we Lwowie,1849,,Krótho zebrana metoda nauki chronologii i dziejów podług ,"JaźWińSki, Antoni, ","ZarańSki, Stanisław, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001857537,British Library HMNTS 9007.dd.2.
1857620,,London,1673,,The Fatal Jealousie,,"Payne, Henry Neville, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001857620,British Library HMNTS 643.d.34.|British Library HMNTS 83.a.5.(1.)
1858108,,New York,1882,A. T. B. De Witt,History of the ,,"Danenhower, John Wilson, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001858108,British Library HMNTS 10460.d.1.
1858319,,London,1860,,"The Tommiebeg Shootings; or, a Moor in Scotland","Jeans, Thomas , ","Skelton, Percival, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001858319,British Library HMNTS 12632.cc.18.
1858666,,Davos,1899,,Der Anteil Graubündens am Schwabenkrieg,"Jecklin, Constanz, ","Jecklin, Fritz, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001858666,British Library HMNTS 9305.e.3.
